标题,发布/编辑时间,赞同数,内容摘要,链接
你的低成本爱好是什么？,未知,0,班主任不让我们玩单杠，说上上届有个学生从单杠上摔下来，拖把杆戳皮燕子里了。 我仍未知道那天拖把直立放置在单杠下方的原因，但没关系，他没说不让玩双杠啊！ 我就在晚自习的那个课间去玩双杠了。 最简单的玩法是“拄…,https://www.zhihu.com/question/1897959255778231029/answer/2003953007528809639
在清华的时候李新野和梁植谁比较帅？,未知,0,夜夜思君不见君，环球同此凉热。…,https://www.zhihu.com/question/1982185794287448874/answer/1982915797039994359
野史究竟能有多野？,未知,0,16世纪末的意大利歌唱家曾尝试在演出前用美少女的玉足扩张自己的喉咙，从而拓宽音域。…,https://www.zhihu.com/question/434526052/answer/1973496930593169518
为什么现在的年轻人不觉得断子绝孙很可怕？,未知,0,我们对这片土地的认知仅限于其在多年以后从属于喀麦隆与乍得相交的争议地带，那时，围绕燃烧树桩跳舞、演奏打击音乐的土人对节拍产生分歧，所信仰的神与神的儿子挖掘鳄鱼，劈开深谷，宗教从此分裂。 他用磨制石器剖开…,https://www.zhihu.com/question/14166361681/answer/1972986140517741000
保安和 AI 对话六个月，称AI发来签约协议让其信以为真，打印聊天记录要说法，AI 背后公司要担责吗？,未知,0,真是一对苦命鸳鸯啊………,https://www.zhihu.com/question/1970150431255684262/answer/1970815385034012565
高中是什么样的啊？很青春吗？,未知,0,上高中的时候，我们班有个公共本子，叫“班报”，每个人都可以写，每个人都可以看，算是沉重的学习生涯中唯一的乐趣了。 最开始，都是记录一些上课的梗，比如：某人化学填空题推了半天离子，问溶液颜色，应该是透明，…,https://www.zhihu.com/question/658090236/answer/1969895596820242825
要怎样的经济水平才能养得起一个日本动画里面的女仆？,未知,0,三角初华的紫色眸子跳动着烛光，牵引丰川祥子的心飞回那片暑假海岛的草地，月波万顷，萤虫满天，声声蝉鸣仿佛还在耳畔。 “睡不着呢，初华酱。” 祥子一手抱着玩偶熊，一手拽着初华裙子的下摆，这件女仆装对于初华有些…,https://www.zhihu.com/question/50644160/answer/1969871416393459583
有哪些歌词被你听错了很久，知道真相后感到哭笑不得？,未知,0,白龙马，Borel集，颠簸唐玄奘小跑仨徒弟……,https://www.zhihu.com/question/297225697/answer/1969708336732681105
男人为什么到了一定年纪就喜欢喝酒？,未知,0,留恋母亲的乳汁。…,https://www.zhihu.com/question/629804174/answer/1968827869087134193
做过的最离奇的梦是什么？,未知,0,我伏在窗口，操纵一架狙击步枪，窗外几棵白杨树，树皮上的瘢痕正盯着我，树后有两排铁轨，一个戴斗笠的人扛着爬犁，从东到西，沿着两条铁轨之间道路，从远方走向远方，在距离我最近之处，放下爬犁，立在地上。 我向爬…,https://www.zhihu.com/question/622334469/answer/1967611061822817463
如何理解马孔多在下雨这句话？,未知,0,陈胜：“大泽乡在下雨。” 军官：“下雨？下雨也算时间哦！”…,https://www.zhihu.com/question/38193780/answer/1966565719064937031
女朋友宣称能吃出河里野生鱼和池塘里鱼的味道差别，她是在骗我吗？,未知,0,烹饪8份鱼肉，其中4份野生河鱼，4份池塘鱼，让女朋友品尝。 如果她瞎蒙，8道全对的概率为1/70，小于原神三抽出金的概率，这几乎不可能。 如果她瞎蒙，答错一道的概率是16/70，远高于小保底歪迪卢克的概率…,https://www.zhihu.com/question/549961837/answer/1966260837598619552
如何评价RT今日俄罗斯发的微博“原神与斯大林”？,未知,0,苏尔特洛奇一觉醒来，发现自己KPI掉榜二了。…,https://www.zhihu.com/question/1964694950001252176/answer/1965106628304016347
对一个人下头的瞬间是什么？,未知,0,我发朋友圈说想养条狗，高中同学评论： 汪汪汪…,https://www.zhihu.com/question/492860479/answer/1964842311549695506
谁能告诉我活着是为了什么？,未知,0,姥爷的白内障越来越严重，医生说，他快瞎了。 姥爷说，瞎之前，我想再游一次泳，像毛主席一样，从河这头，到河那头。 那时正值小学四年级暑假，我们租了两条观光船，我和爸爸一条，妹妹和妈妈一条，算上救生衣花了五十…,https://www.zhihu.com/question/57065901/answer/1962157386786648321
庙里的和尚一个个满面红光的，他们真的不吃肉吗？,未知,0,有二高僧得道，瘦者遍体金光，胖者唯余臀部。 观者好奇，问于弟子，弟子曰： 胖师傅下面食荤，瘦师傅割肉饲虎。…,https://www.zhihu.com/question/655537142/answer/1962102257010074755
如何以「一觉醒来，我变成了野生动物，而我的种群面临灭绝」为开头，写一个故事？,未知,0,一觉醒来，我变成了野生动物，而我的种群面临灭绝。 我翻了个身，继续睡觉。…,https://www.zhihu.com/question/1955996087174279789/answer/1960058170492825899
你真的允许自己在精神上「生病」吗？,未知,0,大二上学期，我给自己的床装了蚊帐，方正黑暗，像睡在棺材里。 午夜，舍友的鼾声演奏复调音乐，像超度亡灵的经文。 失去一切力气，小腿发痒，无法去挠，如果膀胱用力，或许想尿尿。 复杂的鼾声烂在脑子里，浪潮拍打舢板…,https://www.zhihu.com/question/1949422125799662122/answer/1959389950601593074
你做过最奇怪的梦有多离奇？,未知,0,谷中人挽弓射月，其箭御风沐云，坠落地球对径之点。 箭矢生根发芽，久久成林，其根穿越地心，于谷中破土。 射月之人见此，知终不可得，伏地而死。 雪落谷中，不能融化，从此成蒲公英，漫山遍野。 诗人醉酒，卧于深谷： 地…,https://www.zhihu.com/question/24070983/answer/1958268944545738808
10月1号实行的K字签证，对普通人有什么影响？,未知,0,汉土从此无一寸，天地何处是家乡……,https://www.zhihu.com/question/1955778144209473651/answer/1956356709405664606
如何看待西贝迫于网友压力删除「七岁毛毛以为再也吃不到西贝」的虚构温情公关文?问题出在哪里？,未知,0,Ave Mujica的吉他手若叶睦一走进排练室，就直接扑向丰川祥子，一口咬住大祥脚，哭了起来。 这是怎么回事呢？原来，素世妈妈近期看到了网上关于“祥袜致姛”的舆论，随口对爱音说： “要不以后别带小睦去吃祥…,https://www.zhihu.com/question/1954501176172220607/answer/1954708292078134417
为什么现在越来越多的人不想要孩子呢？,未知,0,亚当在上帝建造的伊甸园里不知生活了多久，一日，他感到无聊，取下一根肋骨，创造了夏娃，夏娃降生之时，伊甸园内风雨如晦，悲鸣不已。 有至圣先师牛顿降临，命夏娃绕亚当做圆锥曲线运动：爱则以椭圆轨道拥抱，厌则以…,https://www.zhihu.com/question/455330834/answer/1951959379655000697
男子分享妈妈亲手缝的 NIKE 书包火了，耐克回应缝得真棒，你收到过哪些家人为自己亲手制作的「爱」？,未知,0,上小学的时候，我有个散热特别快的水杯，早上灌满，拿不了，烫手。 于是，姥姥拆了一件旧毛衣，织了一个水杯套，一顶虎头帽，以及四只小靴子，靴子是给猫的，让它挠不了沙发。 我每日提着水杯上学，蹦蹦跳跳，提手太长…,https://www.zhihu.com/question/1950844930659410406/answer/1951350963714626338
多少钱能解决你现在的烦恼呢？？,未知,0,5000元，已经超过15天了，知乎什么时候把奖金发给我？ @知乎人文…,https://www.zhihu.com/question/661082100/answer/1950660865494852058
多地中学发布「发型令」，家长称「剪了两次才勉强合格」，如何看待学校对学生的发型管束？教育意义何在？,未知,0,我上初中的时候，班里有个天生卷发的同学。 那天，崭新的初中生们一个个走进教室，在班主任的注视下坐定。直到他进来的时候，一根教鞭拦在门口： “你这个头发不行啊。” “我这个是天生的，老师。” 班主任发了书，强调…,https://www.zhihu.com/question/1949477370084951551/answer/1950644285084008578
濒死体验是否真实存在？可以解读为灵魂出窍吗？,未知,0,十二岁之前的每个冬天，我都固定会发一次四十度以上的高烧。那时，我陷在床里，天花板鼓，像乳房一样坠着，艰难地抬手去摸，母亲立刻饮给我一匙热水。 录音机里播放着《隋唐演义》，楼上有钢珠掉在地上滚，狗飘渺地叫…,https://www.zhihu.com/question/19665378/answer/1950273358441718396
为什么童年创伤会在 25～30 岁大爆发？,未知,0,前已无通路，后不见归途。…,https://www.zhihu.com/question/1943330524467819558/answer/1949061857420747712
你发现过另一半的哪些秘密？,未知,0,我发现， 我左边一半是有心脏的， 而右边一半没有。 所以， 把我从中间劈开， 左边的血会喷出来， 右边不会。…,https://www.zhihu.com/question/1906668508625991191/answer/1948336423783633774
谢惠民教授于 9 月 2 日辞世，如何评价他的一生？,未知,0,Q.E.D.,https://www.zhihu.com/question/1946236141775852257/answer/1946364075773755401
00后的身高是不是被吹过头了?,未知,0,我上小学的时候，班里有个极高的男孩，他寒假之前还是比班主任矮的，吃了顿年夜饭，嘴巴就长到与班主任眉毛齐平了。 起初，因为个子高，没人敢欺负他。后来，坏学生们发现他是个打不出屁的，就都拿他来立威了。 于是，…,https://www.zhihu.com/question/389125277/answer/1944853597817911012
哪一对cp会让你觉得“这也能磕”？,未知,0,屋里漆黑，我和妹妹盘着腿坐在床上。 妹妹借着手电光做手影。 “这是老鹰，”妹妹扇了扇手掌，老鹰高飞。 “这是兔子，”妹妹曲了曲指节，兔子点头。 “这是大象，”妹妹点了点指尖，大象吸水。 然后，妹妹站起来，跳到地…,https://www.zhihu.com/question/500596251/answer/1944107553366734747
如何看待新华社知乎账号注销?,未知,0,…,https://www.zhihu.com/question/1943131155579774666/answer/1943432094601707749
为什么年轻的肉体让人沉迷？,未知,0,去早市前，姥姥问：买小鸡还是老鸡，小鸡嫩，老鸡大。我和妹妹说，要小鸡。 炖鸡只用四味调料：葱、姜、盐、胡椒。放进高压锅，等上一个半小时，哔哔一叫，就快开饭了。 我和妹妹轮流用筷子拨弄气阀，使压力下降，香气…,https://www.zhihu.com/question/335797377/answer/1943239871108998789
如何看待近日朝鲜褒奖人民军在俄罗斯库尔斯克牺牲的战士？,未知,0,将军率一千特种兵在美国西海岸登陆，日夜兼程，突袭华盛顿，行至中部大平原，将军突然停住脚步，说：“我要拉屎。” 如果在平地或者蹲便上，将军是拉不出来的，于是将一千特种兵分出四小队，去寻找坐式马桶。 终于，三…,https://www.zhihu.com/question/1942516396039845837/answer/1943027537346270927
能不能留下一些莫名其妙的话再走？,未知,0,大名鼎鼎的棋仙来到我们村子时，蓬头垢面，指甲打卷，背着个破褡裢，我们当然都认识棋仙，奉上好酒好菜招待。 棋仙吃饱喝足，换上一身好衣服，村长问，能否请先生与我们下棋，棋仙说，自己下棋必然引动天地异象，除非…,https://www.zhihu.com/question/1935389748718997912/answer/1942923897746991011
有哪些很短的恐怖故事？,未知,0,坐在旁边的光头佬一直在本子上写东西，他喝了两瓶冰红茶，光是看着就令我尿急。 我站起身，挤过车厢连接处的狭小缝隙，那里有一个坐在超大号编织袋子上打瞌睡的老太太。 好不容易挤到厕所门口，厕所上写着， 有人。 我不…,https://www.zhihu.com/question/68758735/answer/1942701020493878338
如何看待电，烟，星二代，尤其是富二代的权钱接力？然而保家卫国的开国少将爷爷，爸爸老兵，当事人跑外卖？,未知,0,“爷爷，我长大后可以当将军吗？” “当然了，我的孩子，你会成为将军的。” “那爷爷，我可以成为外卖员吗？” “这个不行，外卖员也有自己的孙子。”…,https://www.zhihu.com/question/1934913533029621889/answer/1942633035708229028
主人欠钱 3 岁狸花猫被法拍，已有数百人报名竞拍，怎样看待此事？,未知,0,小猫，你也不想让你的主人破产吧？…,https://www.zhihu.com/question/1940718827940847868/answer/1942628717579964943
有哪一刻，你觉得是在被自己的小猫好好守护着的？,未知,0,铲屎官给我洗了个澡，倒上满满一饭盆猫粮，我吃了一半，等她吃剩下的，但她只是呆呆地站着，手里拿着一把水果刀，像个疟疾病人似的发抖。 终于，她把刀扔在地上，双手抱头，把头发挠得像鸡窝一样乱七八糟，她揩着眼泪…,https://www.zhihu.com/question/1929559803400775387/answer/1942215868370105133
有一个妹妹是种怎样的体验？,未知,0,我在日记里忠实地记录了妹妹半夜在厕所抽烟的事情，母亲偷看我的日记后教训了她一顿，妹妹为此和我大吵一架。 第一天，她不搭理我，第二天，我不搭理她，第三天，她不搭理我，我也不搭理她。 第四天，她说，对不起，姐…,https://www.zhihu.com/question/29685255/answer/1942006031245898352
如何看待大爷下棋输了在雨中反思4个小时?,未知,0,算错数或者看错题是折磨了我整个高中时期的梦魇。这种愚蠢的失误比不会做还令人痛苦，因为它们不是你记错题本或者多刷题能解决的，它们永远会抽冷子地一箭把你放到。 每当因为这些原因失分，我就会对自己施加一些于事…,https://www.zhihu.com/question/1940939317821301581/answer/1941928256061277452
如何看待「剥削来源于权力，而非资本」这句话?,未知,0,羽丘高一B班的丰川祥子在图书馆自习时频繁抓挠足部，坐在她对面的千早爱音以“性骚扰”的罪名将其起诉。 日本最高人民法院判处丰川祥子终身监禁，一名不愿意透露名字的长崎女士斥168亿日元的巨资将其保释。 现在，…,https://www.zhihu.com/question/628346008/answer/1941845038993769181
有没有那种能把我虐哭的短篇小虐文，要那种虐的肝疼的？,未知,0,大郎刚翻过黑山头的时候，背上的盔甲被太阳晒得滚烫，他知道，那不是木兰的体温，木兰正躺在漠北的冻土里，三尺之深，千年不朽。 那一夜，冲锋队把重重围困的柔然大军打出了一个缺口，木兰对大郎说：“这些军械是乡亲…,https://www.zhihu.com/question/435828640/answer/1941435771576885272
真正的释怀是一种什么样的感觉？,未知,0,小区里有个菜园子，西边是姥姥种的苞米，东边是孙老太太种的倭瓜。苞米和倭瓜陈兵列阵，争夺土壤，正如姥姥和孙老太太在麻将桌上吃碰杠听，针锋相对。 姥姥和孙老太太退休前在同一个小学里当老师，两人从当班主任开始…,https://www.zhihu.com/question/335125255/answer/1940463417753330490
假如有一个性转的你，你会喜欢他／她吗？,未知,0,父亲上小学的时候，学校要建新厕所。老师率领学生把旧厕所的砖从操场东面搬到操场西面，西面离食堂远，修成新厕所吃饭就不用闻臭味了。 整个下午都用于搬砖，父亲对此感到高兴，因为可以避开音乐美术课。音乐美术的老…,https://www.zhihu.com/question/641988240/answer/1940001387309146732
媚眼如丝是什么样子？,未知,0,一模出分那天，午饭时间，小杜拿着一盒哈密瓜，在我耳边说：“我做你女朋友吧！” “怎么换口味了？初中的时候不是还跟我抢易烊千玺吗？” “就说答不答应吧。” “行，我答应了。” 她用鼻尖顶住我的耳廓，声音像掺杂着…,https://www.zhihu.com/question/595665650/answer/1939705397977027319
所以，困住自己的到底是什么？,未知,0,王双千他爹是做豆腐的。在他大哥王双十学着点卤水，他二哥王双百看着拉磨驴的时候，王双千闻着豆腥味出生了。 王双千长到该学点卤水的年纪时，豆腥味闻够了。他在门槛子上给爹磕了三个头，背着一褡裢干豆腐走了。 王双…,https://www.zhihu.com/question/618061866/answer/1939462586308486701
网恋的你们现在怎么样了？,未知,0,中考结束后的那个暑假，我拿姥爷的手机玩狼人杀。 我喜欢狼人悍跳。 某天，我玩到午饭前的最后一把时，幸运地抽到了狼，在上警发言中查杀了三号位非狼玩家。 不幸的是，三号位是猎人。 幸运的是，被票死的三号发动技能，…,https://www.zhihu.com/question/385409863/answer/1939308910545700606
女儿在写网络小说，但不让我看，是为什么？,未知,0,妹妹喜欢把我写到她的小说里：小学时，写我和她一起当巴啦啦小魔仙，打败古娜拉；初中时，写我和她共侍皇帝，争风吃醋；上了高中，或许是课业繁忙，就不怎么向我分享她的故事了。 某天，我进屋送水果，见她托腮呆坐，…,https://www.zhihu.com/question/616135976/answer/1938656339988582681
你们的名字是怎么起的?,未知,0,母亲刚查出怀孕的时候，父亲买了一本《中华上下五千年》。他坐着看，站着看，上班忙里偷闲看，刚在茅坑蹲下时看到保路运动，等到要擦屁股已经是辛亥革命了。 终于，父亲看完了，他跟母亲说，是男孩就取诸葛亮的亮，是…,https://www.zhihu.com/question/554185748/answer/1937839719263244986
可不可以写一个性转的童话故事？,未知,0,《白雪王子》 在王子清脆的啼哭声中，皇帝面无表情地离开了产房。 皇帝屏退左右，走进密室，密室中卧着一块巨石，巨石中插着一把宝剑。 “剑啊，告诉朕，王子的诞生是福还是祸。” 剑无声。 王又问：“剑啊，告诉朕，朕的…,https://www.zhihu.com/question/421194388/answer/1937531178228879456
如果让你点外卖给古代皇帝吃，你觉得你点什么最保险，至少不会惹怒皇帝？,未知,0,西葫芦炖茄子，加一点肉，日一声打成糊糊。…,https://www.zhihu.com/question/1936546383587969004/answer/1937504740708692790
可以写一个崩坏的童话故事吗？,未知,0,从前有口井，井里有个蛤蟆。 这只蛤蟆还是小蝌蚪的时候，被一只喝水的鹈鹕吸进了嘴巴。鹈鹕在天上飞，打了个喷嚏，蝌蚪和水一起撒出去，落在了井里。 井里的藻类凭借微弱的阳光生长，蝌蚪就吃藻类生长。起初，它还总是…,https://www.zhihu.com/question/426166872/answer/1937200791669683534
《哪吒之魔童闹海》 8 月 2 日全网上线，你看了吗？,未知,0,还写了观后感。…,https://www.zhihu.com/question/1934284362930677081/answer/1937129422584021352
你看过哪些暗黑童话？,未知,0,每天，少女在海滩上堆沙堡。 她聚起沙堆，一次又一次地捧来海水，把干燥的细沙打湿，光着脚在上面蹦蹦跳跳，夯实，然后抹平。 这是一座高原。 她在沙子高原上抟弄出一个大圆台和几个小圆柱，她的手不断地拍打，摩挲，然…,https://www.zhihu.com/question/55071280/answer/1936925881005216283
你有什么解压的小众爱好？,未知,0,初二的某一天，我跟妈妈说，我交了一个朋友，她语文好，英语好，数学好，乒乓球打得好，家里养着一条长毛大狗，狗的性格也好。 妈妈说，那很好，和这样优秀的朋友交往很好。 我说，我可以把拍子拿到学校跟她打球吗？ 妈…,https://www.zhihu.com/question/618709255/answer/1936497031322530513
"如何以""我可以摸摸你的尾巴吗""为开头写一个故事？",未知,0,我可以摸摸你的尾巴吗，六年三班。 沃兹基曾在他的长篇小说《乱边德》中写到：优秀的学生总是千篇一律，班级的吊车尾却各有各的牛逼之处。 在挨了班主任一巴掌之前，我还算个鸡头，而在那之后，我就只能是个凤尾了，因…,https://www.zhihu.com/question/515598221/answer/1936088697276724793
为什么中式恐怖的压抑程度比起西式恐怖要高很多？,未知,0,某个雨天，大人不在家，我和妹妹感到无聊，决定轮流讲恐怖故事。 我坐在窗台上，打开窗户，使冷气进来。我穿着厚马甲，妹妹披着毯子。 下面是当时我们所讲的故事： 我 有个男人早上醒来的时候照镜子，感觉自己变帅了一点…,https://www.zhihu.com/question/586625187/answer/1935682231382291142
你最意外的一笔收入是什么？,未知,0,母亲让我们给奶奶上完坟回来带点县城特产的皮蛋肠。 火车到了县城的时候，我还记得这句话，但没提；等到了丧葬用品店，父亲和店主讨价还价的时候，提就更不合时宜了。 那时我刚考上大学，妹妹在放暑假，母亲工作忙得见…,https://www.zhihu.com/question/522856095/answer/1935421491073225385
人类历史上最伟大的十个人是谁？,未知,0,起初，世界一片混沌，蓝色大章鱼丰川祥子安眠于石之海，在恒河沙数的漫长时间中发出32123432的鼾声。 后来，一颗来自宇宙之外英之境界的不可名状之物打破世界胎壁，降临在有咲无澄之谷，成为世界上第一个智慧…,https://www.zhihu.com/question/1908415539207987490/answer/1935296279346406266
把一件事坚持30天会怎么样？,未知,0,高中课间操的时候，我总会磨蹭一会儿再下去。这时，偌大的教室里只有我一人，几十张桌子上的书被吹得纸页翻飞，关掉电风扇，又齐刷刷倒伏。 这时，我可以去看每个人刚刚发下的测验的成绩；我可以去看那几个卷王又偷偷…,https://www.zhihu.com/question/445399418/answer/1934999538323657884
日出而作，下一句是什么？,未知,0,日落而射…,https://www.zhihu.com/question/1912391243603907295/answer/1934678151759369086
自己的宗教信仰被人严重冒犯，感到愤怒又难过，应当怎么正确面对？,未知,0,…,https://www.zhihu.com/question/1934201650085619491/answer/1934622288453546062
你心目中的排名第一的雪糕是什么？,未知,0,每当母亲晃动着10块钱，问“谁去跑腿买雪糕”的时候，我总会一把抢过来，从楼下的园子跑向小广场，跌跌撞撞，并在转角处扭头大喊“还是老样子！” 我和妹妹的老样子是“夏冰雹”；爸爸妈妈的老样子是“中街大果”，…,https://www.zhihu.com/question/1890346701979645901/answer/1934201673951212250
你曾遇到过哪位平凡却让你印象深刻的市井人物？,未知,0,《老兵的坦克》 对面楼墩子他爷爷自称当过兵，但给我们小孩翻来覆去讲的故事除了喂猪，就只有赤手空拳打死一条冲着指导员媳妇汪汪叫的疯狗了。 “爷爷，我们要听打仗的故事。” “打仗有啥讲的，血眵呼啦，小孩听了尿炕…,https://www.zhihu.com/question/1928856360465950711/answer/1933853670874784779
你做过的最龌龊的一件事儿是什么？,未知,0,我的小学语文老师，一个人中上长着淡黄色胡子的老太太，要求我们写“日行一善”。更邪恶的是，在学期末，她突然宣布要收上去检查。 于是，我只能匆匆忙忙地吃完最爱的三鲜馅饺子，坐在书桌前，用词典把本子压平。 “日…,https://www.zhihu.com/question/51925467/answer/1933505407806080279
城市生活中，你经历过哪些转瞬即逝却充满诗意的瞬间？,未知,0,《我坐在石球子上》 从四六级补课班出来，坐九路公交车去河东。 那年我十八，高考考得还行，母亲给我配了手机和一个装硬币的单肩包。 硬币扔槽里，车门吱地关上，我靠窗坐，看一辆拉破烂的三轮子被甩在身后。 人民公园，…,https://www.zhihu.com/question/1928857013946901802/answer/1933220425518806920
有天赋的作家写出来的文字是什么样的？,未知,0,“肉铺里人越来越多了，我母亲孤立地站在人堆里，她篮子里的一棵白菜不知被谁撞到了地上，白菜差点绊了她自己的脚。我母亲后来弯着腰拍打着人家的一条条腿，嘴里嚷嚷着，让一让让一让呀，我的白菜，我的白菜。我母…,https://www.zhihu.com/question/526079999/answer/1933145888143958779
什么是情绪价值？,未知,0,很多年前，一个雨天，很冷，大人不在家。主卧的窗户坏了，关不上，外面罩了一块塑料布，雨打在上面哗啦哗啦地响。 热胀冷缩，我和妹妹都冻小了。 让我们玩点小孩子的游戏吧。 “玩很冷很冷大警察！”我说。 “什么是很冷…,https://www.zhihu.com/question/326968879/answer/1932823861998645810
你为什么和你的男朋友分手？,未知,0,那个喜欢吃纸的家伙，丁丁，在成为我的男朋友之前，就跟我分手了。 呐，丁丁，我有点明白你写的那首《贺新郎》了。在高三的最后一个下午，还有一个小时放学，三天的假期后，我们就会迎来高考。我一个人在教室里完成了…,https://www.zhihu.com/question/264073498/answer/1932588638509709126
一句话概括你有多喜欢你的猫?,未知,0,想艹它，但忍住了。 ————From我的高中语文老师…,https://www.zhihu.com/question/1896558289954797420/answer/1932226716274790917
如何评价知名女声优进藤天音出轨?,未知,0,我没有要求你永远要求我，我不是我。 可是，意思是什么意思？你作为我的你怎么了？ 现在才2025年吧？再这样下去，你42岁的时候42岁，84岁的时候84岁，168岁的时候168岁，336岁的时候336岁，6…,https://www.zhihu.com/question/1931532473860325495/answer/1932196349715125622
如何称量一个鱼塘的液体重量？,未知,0,我记得“听音辨鼓”问题的一个结论是： 你能听出鼓的体积。 那么，只需要再乘以密度就行了。…,https://www.zhihu.com/question/562775394/answer/1932084582179643766
满族人的性格是怎样的？,未知,0,初二的时候，我的同桌是一个整天画画的满族女生。 一次课间，数学老师走到她身后，默默地盯着她手中纵横捭阖的铅笔，叹了口气：“小杜，你以后要干什么吃饭呢？” 当然，数学老师只是温柔的个例。某次物理课上，一颗洲…,https://www.zhihu.com/question/453639152/answer/1932061151505675397
高三放纵一个下午有影响吗？,未知,0,清北班在六楼，六楼的天花板很低，低到跳起来磕脑袋，脑袋上面是宽阔的天台。要想去到那里，你需要出门左转，走过一条幽长的、灯泡坏掉的长廊，打开一扇被铁链拴着的门。 在高三的最后一个下午，我坐在最后一排，做着…,https://www.zhihu.com/question/1401125505/answer/1931732941194633444
天赋到底是什么东西？,未知,0,对面八楼窗外的架子有着黑宽白窄的条纹，被我称为“毛嗑”。后来，住在那层的，卖江米粽子的女人的儿子跳楼时把架子拽出个豁儿，就成了“被磕开的毛嗑”。 我管卖江米粽子的女人的儿子叫“小江哥哥”，在我上高中之前…,https://www.zhihu.com/question/569518012/answer/1931431566774609624
下雨天做什么最舒服？,未知,0,下雨天，吃火锅。 雨是龙的哈喇子，姥姥说的。所以，当爸爸拎着羊肉、牛肉，妈妈提着莲藕、茼蒿，打开家门，大檐帽和塑料雨披上水珠滚落之时，我和妹妹的哈喇子也前仆后继地流下来了。 饭店吃火锅，汤底常被冠以“番茄…,https://www.zhihu.com/question/613567254/answer/1930234866542294432
