标题,发布/编辑时间,赞同数,内容摘要,链接
为什么很多医生不乐意带实习医生？,未知,0,说实话，尽管互为同事，但我也很难理解某些医生的想法， 他们似乎总是热衷于把一件明明可以两全其美、各取所需的事弄得天怒人怨。 实习阶段，是一个医生一生中最窘迫的阶段，天天在医院值班打工就不说了，甚至还没有一分钱的收入（有的医院还要求学生交“实习费”，倒贴钱打工了属于是） 父母给的钱也只够交房租和生活费，日子每天过得紧巴巴的。 在…,https://www.zhihu.com/question/563651172/answer/3241476351
突然发现，孩子真的很平庸，难以接受，怎么办？,未知,0,很有趣的问题，而且也正是我最近在思考的问题。 在观察青春期孩子和父母的相处时，我经常注意到有父母会说：“我辛辛苦苦日夜操劳给你喂养大，你怎么长成这个样子了？” 但我很少听到有父母说：“我身体力行，言传身教…,https://www.zhihu.com/question/614199558/answer/3240070110
你见过的狠人有多绝?,未知,0,掉进化粪池的感觉其实很奇妙，没有想象中的恶臭，也不觉得恶心。 求生的欲望超过了一切， 嗅觉也好、味觉也好，甚至是听觉和痛觉都消失了，在生命之重面前，不重要的感知觉都在褪去， 一切的一切，都在为求生让位，所有不必要的耗能行为都被暂停，省出能量，化为生命潜力和生存意志。 这时的你会浑浑噩噩，你会觉得自己好像已经死了，但又好像还活着…,https://www.zhihu.com/question/538690869/answer/3220797317
孩子明明有班级名列前三名的头脑，但他总是不愿意主动学，导致偶尔会考成倒数前三名，怎么办？,未知,0,说句可能有点抱歉的话： 题主目前的思维方式，可能不太适合基础教育，尤其是对学龄期孩子的教育。 请不要误会，这并非是某种指责或者贬低，也并非是在刻意针对， 我只是单纯想阐述一个事实，这也是题主和其他所有不适合教育的家长都有一个共同特点： 他们缺乏对这个世界客观规律的认识与敬畏，对于超出自己理解范围的事，他们会用一种类似于宗教迷信…,https://www.zhihu.com/question/585553610/answer/3219419625
如何用“我”“喜欢”“你”造句？,未知,0,没有必要弯弯绕绕，这个世界的大多数人都很缺爱， 所以我就直说了： 我喜欢你。…,https://www.zhihu.com/question/618556158/answer/3216406904
如何看待游戏主播周淑怡发致歉信「接受批评，我现在的状态是单身」？,未知,0,这个问题其实很有意思。 无论是李佳琦也好，周淑怡也好，这些头部主播的心理都正处于一个极端矛盾的状态： 他们自认为自己有钱有势，是人上人，但他们发现在真正有钱有势的人眼里，他们只是小丑和玩物； 而人是会主动寻求自身意义的，不被“同阶层”的群体接纳，他们会下意识地想在不如他们的人那里追求价值感和存在感，但他们却惊讶地发现——即使…,https://www.zhihu.com/question/622203856/answer/3214620246
女婴输液后尖叫昏迷成脑萎缩，如何从医学角度解读该情况？,未知,0,头铁一回，从一个医生的角度谈谈我的看法吧。 有知友提到了炎琥宁，其实国内有意思的药不止炎琥宁——包括炎琥宁在内的很多中成药，都有一个有趣的特点： 医生在设计治疗方案时，很少直接单用它， 如果要用，一般是把它插进一个已经很完整的治疗方案里“锦上添花”。 以题目中的案例为例， 这位因“急性化脓性扁桃体炎”住院的小女孩，她的治疗方案和…,https://www.zhihu.com/question/621229079/answer/3212437431
我是一个完全不打游戏的人，客观上我承认有很多游戏很棒，但是我是真的很想知道：游戏带给你的成长是什么？,未知,0,我曾经也是一个混蛋， 一个自负的、自以为是的混蛋。 我曾自认为博览群书，认为自己很牛逼，我看休谟、笛卡尔，我能把理想国倒着背，我从弗洛伊德、荣格时代的书一直看到了班杜拉、皮亚杰、卡尼曼、斯金纳， 我觉得我的知识足以分析、理解、驳倒大多数人，所以我甚至曾跟一个刚经历丧父之痛的人谈论“弑父情节”并和他吵了起来，最后在他情绪崩溃的…,https://www.zhihu.com/question/618765536/answer/3209562367
短视频抢占现代人的集体注意力，是导致现今「ADHD」症状频发的原因么？,未知,0,这个问题很有意思， 先说结论：如果题主所指的“现代人”是8岁以下的现代人，并且每天除了短视频就没有其他的脑力活动了，那短视频确实有一定概率成为出现ADHD的病因， 我会从注意缺陷多动障碍（ADHD）的发病…,https://www.zhihu.com/question/619995673/answer/3209123815
06年的，看这些书什么水平?,未知,0,我还挺推荐题主提到的那本《心理学入门》的，建议大家上厕所时都带一本，一是可以通过看书打发时间， 二是如果你忘记带纸了，扯两页下来擦屁股还是很合适的——虽然该书的内容错漏百出，但纸质很柔。 书的水平很低，不过题主想问看这些书的自己是什么水平，那我还是想告诉他： 你其实很棒，很优秀，很不错，继续加油哦。 我没有在说反话，也不是在阴…,https://www.zhihu.com/question/590486657/answer/3200742460
你最喜欢游戏《崩坏：星穹铁道》中哪位角色？,未知,0,一对随处可见的NPC，很多人或许已经忘记他们的名字了， 男生叫洛奇，女生叫莱斯莉。 他们都没有特殊的建模，也没有细致入微的背景设定，无非是一对再普通不过的NPC， 洛奇是个普通科员，长相、能力平平无奇，一混入人群便如石沉大海，再也找不见。只有写诗时才偶尔流露出沉静和忧郁，让他稍微与众不同， 莱斯莉是个很优秀的女生，是科室的王牌…,https://www.zhihu.com/question/597910325/answer/3082087718
在生活中该如何判断一个人有没有说谎？,未知,0,很有趣的问题。 在鉴谎方面，走在国内研究一线的是华东政法大学和中国政法大学，我很乐意将学术界目前的研究进展和我个人的研究结果分享给你， 不过在开始之前，我想请你先思考一个问题： 假如让你对一个人进行鉴谎，你…,https://www.zhihu.com/question/600933142/answer/3066112068
网上都有哪些天才智慧美少女？,未知,0,我。…,https://www.zhihu.com/question/528590644/answer/3041219096
有哪些让你目瞪口呆的 Bug ？,未知,0,成都有个监狱情况比较特殊，关押的基本全是重犯，而且还都是经济犯和政治犯， 他们以前都是一方大佬，在自己的一亩三分地翻手为云覆手为雨，无非是不小心中箭落马或帮老大顶锅才进监狱， 所以即使进来了，他们依然保持…,https://www.zhihu.com/question/21747929/answer/3016127336
地狱是什么样子的？,未知,0,这是四川射洪的某处精神病院，建在乡下，是我医生生涯开始的地方。 上面两张照片，已经是近两年翻修后的成果了，最近故地重游时才拍下， 我去的时候那里还没有红砖墙，没有娱乐设备，没有那么多专业医生， 只有通电的铁…,https://www.zhihu.com/question/29286533/answer/2999907292
女生如何看待“雌小鬼”？,未知,0,如果你愿意点开某部雌小鬼本子的评论区，你会发现一个有趣的现象： 大家几乎很少讨论女主，讨论焦点一般集中在剧情上。 这种现象其实很反常，因为大部分人来某些app找本子看时，同时也是迫切需要解决生理需求时， 在…,https://www.zhihu.com/question/593075401/answer/2993960083
有些人想要结束自己的生命，不愿意继续活下去，这是为什么？,未知,0,昨晚差点就有病人自杀成功了， 大概凌晨1点的时候，患者把自己的文胸取下，牢牢地绑在窗户的把手上，然后把脖子套进去，拼命地拉扯， 等被同病房的病友发现并救下时，她的脸已经一片青紫，几乎快要窒息。 她是一位精神…,https://www.zhihu.com/question/483156948/answer/2989251466
拖延症的本质是什么？为什么不由自主的想拖延，怎样避免？,未知,0,其实你一直都知道答案。 我们的初中物理课其实教给我们了一条很重要的定理，它阐述了物质运行和发展的最基本的、最重要的规律， 甚至包括马哲在内的很多哲学流派，部分关键理论也只是这条理论的衍生， 在学习和思考我自己领域的专业知识时，我也无时无刻不感受着它的存在。 遗憾的是：我们的教育方式让我们只会用它解题，却没有发现它时刻左右着我们…,https://www.zhihu.com/question/283137567/answer/2982393061
工作压力大，无法逃离，感觉每天胃很难受，心闷气，是抑郁了吗？,未知,0,这个问题其实很有意思，也特别有价值， 题主的症状很典型，临床上也有相当多的患者感到自己的某些脏器很不适，但去相应科室检查后，却几乎检查不出有效的结果， 造成他们不适的，似乎不是生理上的因素。 我们不妨来讨论…,https://www.zhihu.com/question/561740984/answer/2978428511
为什么年轻人越来越不愿意奉承领导了？,未知,0,每次看到有人分享自己奉承领导的经验，并大肆强调讨好领导的重要性时，我都会思考一个问题： 与其老老实实地等领导来PUA我们，我们为什么不整点骚操作，反向PUA一下我们的领导呢？ 当然，这是一项庞大的学习任务…,https://www.zhihu.com/question/559709600/answer/2976816617
女子被父母强制考公 5 年患精神分裂，考公屡战屡败你还会坚持吗?父母会干涉你的职业选择吗?,未知,0,受不了题主这极具诱导性的起标题方式了（捂脸） 根据家属的描述，这件事与其说是“女子考公失败导致精神分裂症”，更准确的说法应该是： 精神分裂症患者被迫连续多年考公，上岸失败后症状剧烈加重。 这个女生是本身就患有精神分裂症的，连年考公的失败是她症状爆发的诱因，但不是根本原因。事实上，只要父母不同意她去医院接受治疗，就算她不考公、…,https://www.zhihu.com/question/594150044/answer/2973380962
老婆割腕7刀 我看了没什么感觉 给她贴好创可贴止血后 点了一人份的麦当劳 自己吃了 我应该尽责了吧?,未知,0,在医院呆了多年，见证了很多危重病人生命中的最后时光，我最大的感受就是： 当苦难成为了一种常态时，悲伤将变得毫无意义。 我印象最深的是19年左右的一次会诊， 住院的是一位老人，68岁，儿女双全，丈夫早逝。除了糖尿病，她本无任何疾病，按理来说是不至于住院的，但她的健康状况在最近两天急剧恶化，最后直接休克倒地，被路人送入医院， 她刚…,https://www.zhihu.com/question/592103979/answer/2969657789
NTR的本质是什么?,未知,0,NTR、绿帽癖看似是对我们人格尊严的一种损害，因为没人会希望自己被带绿帽子， 但实际上，NTR其实是我们内心欲望的一种满足，它会为我们带来难以言喻的安心感。 先给大家讲个我最近遇到的趣事吧。 有一位住院的小…,https://www.zhihu.com/question/559515666/answer/2963962635
「季节性情感障碍」的说法有科学依据吗？,未知,0,已经有答主从心理学角度分析了这个现象，那我就从我个人的研究方向出发，从神经生理学的角度来解释这个现象的成因。 不过在开始之前，我必须指出一点： 根据目前的相关研究进展而言，题主的问题描述其实存在着一些很常…,https://www.zhihu.com/question/31342245/answer/2960475539
每天很忙，但是工作效率低下，怎么破？,未知,0,这个问题很有意思，而且还真被详细研究过， 先说结论： 绝大部分工作、学习效率低下的人，都存在着以下两个特点： 1.他们在工作、学习过程中，对认知资源的分配方式存在很大的问题，这种分配方式直接导致他们的思维和…,https://www.zhihu.com/question/30522520/answer/2959283735
出于安眠目的服用褪黑色素对身体有何影响？,未知,0,本来只是随手搜了一下褪黑素，结果发现除了极个别的回答比较靠谱，“褪黑素”的相关问题下简直堪称群魔乱舞（捂脸）。 我大致能猜到大家是带着怎样的期待来搜索“褪黑素”的，所以，我现将”褪黑素”相关知识总结成以下五个问题： 1.所谓的“褪黑素”，实际上的有效成分是什么？（这个问题属于重灾区） 2.它有哪些作用，又通过什么药理机制来发…,https://www.zhihu.com/question/26451106/answer/2957050135
编造黄谣与编造其它谣言在动机上有什么不同？造黄谣出于什么心理，是一种疾病吗？,未知,0,这个问题其实特别有意思。 你很可能曾注意过一个有趣的现象： 人们似乎很喜欢用性功能的强弱来评价一个人的品德。 而有意思的是： 同样是对某个人的抹黑和贬低，如果人们想抹黑一个男生，那他们往往会指责男生的性功能很弱，比如阳痿， 如果想人们想抹黑一个女生，那他们往往会造谣说她的性功能过强，比如淫荡。 我们很少会去指责一个男生的性欲过强，…,https://www.zhihu.com/question/591500010/answer/2953867798
为什么小时候缺爱的孩子，长大后很难幸福？,未知,0,这个问题很有意思，而且答案可能比我们想象中的更加简单，也比想象中的更加有趣。 我们不妨从一个看似无关的角度切入： 你或许见过很害怕在公众面前发言的人（当然，有可能你自己就是），每次需要他当着全班学生的面、同事的面发言时，他都会异常紧张，语无伦次，有时连提前背过的稿子都记不清了， 最后，他的公开演讲往往以失败告终。 对于这种现象…,https://www.zhihu.com/question/583464574/answer/2951304024
什么样的心理陷阱束缚了我们？,未知,0,不出意外的话，你大概率出现过这样一种心理： 某天，你因为种种意外做了一件很蠢很滑稽的事，惹得你周围的一众人等都在笑话你。 你深感羞愧，巴不得找个地方钻进去。到了晚上睡觉时，你发现自己根本无法睡着，只要你一…,https://www.zhihu.com/question/38026776/answer/2946270595
原来欺凌过我的人跳楼重伤，我情绪很复杂，怎么办？,未知,0,这个问题很有意思。 小题主是个很棒的孩子，她内心敏感而坚强，不过她的描述有一点点混乱， 根据小题主的描述，我大致将困扰她的问题总结如下： 1.跟一个霸凌过自己的人共情，这种行为和心态矛盾吗？ 2.这种心态的成因是什么，我们为什么会想要跟霸凌者共情？ 在开始之前，我想先告诉大家一件事实： 我们无法与和自己毫无共通之处的人共情。 比如你…,https://www.zhihu.com/question/589851289/answer/2942586647
怎么面对父母的打击式教育？,未知,0,绝大部分父母的本意其实还是很好的：他们想通过打击教育使孩子受挫，进而让孩子激起一种反抗心理和斗志，然后为了证明自己而更加努力的学习，成为一匹闪耀的黑马。 这种教育方式其实有一定的合理性，运用恰当的话也会…,https://www.zhihu.com/question/47778659/answer/2940388693
为什么一个乖乖女总会吸引渣男？,未知,0,这其实是一个很有意思的心理学问题。 如果不出意外的话，题主描述的那位女生的原生家庭里，大概率没有一位合格的父亲角色。 给大家讲一个我在咨询时遇到的个案吧。（已经过当事人授权同意） 来访者是一名大三女生，20岁，属于题主这类人的典型，从高中开始，每一段感情都因男友的劈腿而告终。 灰色幽默的是，她的每次分手似乎都是同一个模板：在前…,https://www.zhihu.com/question/266981746/answer/2937269612
为什么有的人永远都学不好数学？,未知,0,（对神经科学机制和推理过程不感兴趣的朋友，可以直接跳到文章末尾看总结和方法论哦） 以前一直流行着一种说法：数学不好的人，并非是他不够努力，而是他天生就不适合学习数学。 这种说法其实有一定的道理，比如我们大…,https://www.zhihu.com/question/296093318/answer/2934572218
我说抑郁症都是我妈害的，她让我从楼上跳下去的做法对吗？,未知,0,这个问题其实很有意思，因为相当多的家庭里，似乎都存在着这样一个角色： 他对外人极端尊敬、客气、甚至是讨好，对客人们总是笑脸相迎， 但在面对家人时，他们却甚至不愿意多夸一句、多鼓励一下，总是整天板着个脸。 他们愿意把自己最好的一面展现给外人，却把最坏的一面留给身边的亲人。 这个现象似乎很反直觉，因为按理来说，我们应该是爱朝夕相处…,https://www.zhihu.com/question/587340687/answer/2931885212
报告显示青年群体更希望提早退休，高学历人士期待更晚退休，反映出哪些社会心理？准备多少钱可才能退休养老？,未知,0,感谢致知计划的邀请。 这个问题其实涉及到一个特别有趣的心理现象： 一个人的社会地位越高，他的工作幸福感往往越高，而工作幸福感与他愿意工作的时长是成正比的[1]， 也就是说，一个人的工作时长，很大程度上取决于…,https://www.zhihu.com/question/588518676/answer/2929014803
你能告诉我一些有趣的心理学事实吗？,未知,0,当你试图和几位对手竞争同一个岗位时，如果你们实力和条件相近，但你依然想从中脱颖而出，成为竞争的胜利者， 那除了提升自身的硬实力，其实还有一个另辟蹊径的方法供你参考： 不再局限于与竞争对手的勾心斗角，而是从…,https://www.zhihu.com/question/342539887/answer/2928330561
为什么杀心成焚看上去是个没什么成就的小混混，却让人喜欢?,未知,0,我们无法与和自己毫无共通之处的人共情， 比如你在街头看到一个陌生乞丐向你要饭时，你会可怜他、同情他，但你基本不会跟他共情， 但当你在街上闲逛时，突然注意到了你曾经的室友、同学、好友，他衣衫褴褛，骨瘦如柴，…,https://www.zhihu.com/question/529613992/answer/2925171085
如何判断身边的朋友是否嫉妒你？,未知,0,这个问题其实很有意思，而且还真被严肃研究过， 先说结论：如果你想判断身边的朋友是否容易对你产生嫉妒， 可以观察你朋友的行为模式，看他的行为模式属于低水平绩效证明目标导向，还是高水平绩效证明目标导向，进而进…,https://www.zhihu.com/question/54633574/answer/2922176510
到底接吻跟爱有没有关系？,未知,0,这个问题其实特别有趣，因为题主虽然问的是“接吻跟爱有没有关系”，但她内心深处真正的疑惑其实是： 肉体依恋与爱情之间，是否存在着必然联系？ 或者我们换个说法： 两个人之间，真的可以纯粹依靠精神层面的共鸣，来维…,https://www.zhihu.com/question/576775499/answer/2919902468
为什么现在会有“上岸第一剑，先斩意中人”这种普遍现象呢？,未知,0,这个问题其实特别有意思，我们不妨把它描述得更具体一点： 为什么已经上岸、正在上岸的人，会刻意去追求一种“单身”状态？ 我相信，绝大多数人的第一反应是： 一般情况下，能结为情侣的双方，综合条件或许有差距，但不会相差特别大， 而上岸，通常意味着其中一方发生阶级跃迁，和另一方已经不在同一个层次上了。门不当户不对的感情，结束只是时间问…,https://www.zhihu.com/question/577722969/answer/2917808134
人为什么会对未知的事物产生恐惧？,未知,0,大二的时候，我和5位同学约定一起假期实习，由一位学长带队， 临行前一周，学长组织我们玩了一个游戏，大致内容是：学长把自己的个人信息和过往经历记录在纸上，然后分成五等份，分别交给除他之外的其他5个人， 大家根据自己手中的信息，分别说说自己对学长的印象，说的最准确最详细的人获胜。 这个游戏的初衷很好，让大家熟悉带队学长，方便沟通…,https://www.zhihu.com/question/37009657/answer/2916421249
为什么我的母亲从来都不快乐，而且总是轻而易举的夺走全家人的快乐?,未知,0,这个问题其实很有意思， 你或许曾注意到过这样一个现象： 老一辈的人，似乎特别喜欢“自虐”，然后用“自虐”的成果来彰显她的伟大，最后用她的“伟大”来指责你。 比如同样是节约用水， 如果是正在看这篇文章的你，会做出的行为无非是避免浪费、及时关水，宗旨是“该用就用，该省就省”， 但我亲眼见过一个老人的用水流程： 她把洗脸刷牙后的水用来洗…,https://www.zhihu.com/question/514446133/answer/2913281844
大家怎么克制自己的消费冲动？,未知,0,这个问题其实很有意思， 我们不妨反向思考一下： 为了让你多花钱、更愿意掏钱，商家在布局商场时，会不会做了某些心理暗示？ 你在逛超市或者刷某宝时，或许曾注意到过一个现象： 商家在货架上铺货时，经常会故意把同类产…,https://www.zhihu.com/question/20611358/answer/2911801131
15 岁以下抑郁症患者 3 年涨 3 倍多，哪些原因导致的？哪些信息值得关注？,未知,0,或许，这是我离进大学教材最近的一次。 大二那年，我去了贵州某精神专科医院见习。 医院位置偏僻，几乎与世隔绝，在那片狭窄的小天地里，我只和其中一个少年勉强还能聊几句。 少年16岁，只读了初中，是个木工，白天在离村不远的木材加工厂帮忙， 他说他最喜欢看的电影是《列宁在1918》，他说他长大后也要出去闯荡， 他当时满腔热血，心里装着梦…,https://www.zhihu.com/question/585559272/answer/2910454232
抗抑郁药的副作用有多厉害?,未知,0,观前须知： 以下内容中，副作用的强烈程度用“无”、“弱阳性”、“阳性”、“强阳性”表示，即“0”“+”“++”“+++” 0：无相关不良反应 +：有相关不良反应，但并不明显 ++：有较明显的相关不良反应 +++：相关不良反应很明显 举例：氯丙嗪——体重增加++，说明服药氯丙嗪后，可能会出现较为明显的体重增加现象 正文： 1.第一代抗精…,https://www.zhihu.com/question/454098027/answer/2908850238
妈妈为提高女儿成绩将抗抑郁药物换成维生素，如何看待此事？还有哪些细节值得关注？,未知,0,要不是女孩还活着，我差点以为她是我的病人。 自从入行以来，我总是能注意到这样一个现象： 有一部分人，他们似乎天生就对“停药”有种特殊的执念，总是试图把药擅自停掉，尽管需要吃药的人甚至都不是他自己。 最近的一次就发生在上个月，我给一名初三的小姑娘开了三种药，姑且就称为药A、药B、药C吧。 家长在百度上查了一下，发现药A和药B有一…,https://www.zhihu.com/question/585555936/answer/2907324363
据报告，50% 的抑郁症患者为在校学生，青少年抑郁症患病率已达 15~20%，如何关注青少年心理健康？,未知,0,学生群体所面对的现状其实很矛盾： 我们都知道，高中及以下的绝大部分学生，其实是没有足够的能力来管理自己的心理健康的，所以家长和老师应该承担起相应的责任， 但问题在于——由于工作压力和生活压力，家长和老师们…,https://www.zhihu.com/question/585555768/answer/2907068615
因过于关注细节、追求完美而导致做事拖延、效率低，怎么办？,未知,0,这个问题很有意思。 以前有一种固有观念认为：拖延者往往是出于懒惰，不想立刻做完某件事，或者因为无知，不知道这件事的重要性，所以才一直拖拖拉拉，不愿意直面工作和学习。 不过现在，各位根据自己的亲身经历，可能…,https://www.zhihu.com/question/22763168/answer/2906282257
从什么时候你开始不相信心理学？,未知,0,说来惭愧。 关于一个人的“性格”是如何形成的，相信大家都有自己的见解，心理学的各个学派也有各自的理论体系， 比如知乎曾有一个问题，它试图探讨“冷漠性格”的成因，问题下各个学派的大佬也各抒己见： 精神分析学派…,https://www.zhihu.com/question/504674362/answer/2904295052
我女儿不肯去上学，被我说几句自杀了是为什么??,未知,0,看完题主通篇的辩解和哭诉，其实我很想问题主一个问题： 你说你的女儿死得“毫无理由”、“莫名其妙”，你自己相信吗？ 题主的语言组织能力不好，而且处处在为自己开脱，那我们不妨先把题主描述中，所含有的全部主观感情和想法都去掉，只留下事实，看看题主女儿生前的生活状态： 题主女儿，14岁，温顺听话，直到初二前，成绩一直维持在年级第一。…,https://www.zhihu.com/question/584764841/answer/2901259154
